scale,env,image1,image2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,trial.started,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,NEP_scale.started,text_2.started,question.started,slider.started,NEP_scale.stopped,slider.response,slider.rt,env_prime.started,text_3.started,text_4.started,slider_2.started,env_prime.stopped,slider_2.response,slider_2.rt,env_decision_inst.started,text_5.started,key_resp_2.started,env_decision_inst.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,desicion.started,OptionA.started,optionB.started,key_resp_3.started,desicion.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.0029630999997607432,0.0072326000008615665,0.0072326000008615665,0.978874899999937,space,0.9613467999952263,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
We are approaching the limit of the number of people the Earth can support.,,,,0,0,0,0,,,,,,,,,1.0144193000014639,,,,,,,,,0.9825506999986828,1.0144193000014639,1.0144193000014639,1.0144193000014639,16.224030800003675,5.0,15.209874700005457,,,,,,,,,,,,,,,,,,,,,,,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
Humans have the right to modify the natural environment to suit their needs.,,,,0,1,1,1,,,,,,,,,16.250254899998254,,,,,,,,,16.224405300003127,16.250254899998254,16.250254899998254,16.250254899998254,25.021274700004142,3.0,8.771489499995369,,,,,,,,,,,,,,,,,,,,,,,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
When humans interfere with nature it often produces disastrous consequences.,,,,0,2,2,2,,,,,,,,,25.04734350000217,,,,,,,,,25.02154960000189,25.04734350000217,25.04734350000217,25.04734350000217,29.806535199997597,4.0,4.760534000000916,,,,,,,,,,,,,,,,,,,,,,,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
Human ingenuity will insure that we do not make the Earth unlivable.,,,,0,3,3,3,,,,,,,,,29.830573799998092,,,,,,,,,29.80681419999746,29.830573799998092,29.830573799998092,29.830573799998092,42.92669520000345,3.0,13.085675799993624,,,,,,,,,,,,,,,,,,,,,,,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
Humans are seriously abusing the environment.,,,,0,4,4,4,,,,,,,,,42.955094000004465,,,,,,,,,42.92709370000375,42.955094000004465,42.955094000004465,42.955094000004465,46.1326984000043,5.0,3.181142399997043,,,,,,,,,,,,,,,,,,,,,,,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
The Earth has plenty of natural resources if we just learn how to develop them.,,,,0,5,5,5,,,,,,,,,46.15702099999908,,,,,,,,,46.13298450000002,46.15702099999908,46.15702099999908,46.15702099999908,49.497501300000295,4.0,3.339684800004761,,,,,,,,,,,,,,,,,,,,,,,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
Plants and animals have as much right as humans to exist.,,,,0,6,6,6,,,,,,,,,49.53400870000041,,,,,,,,,49.49777280000126,49.53400870000041,49.53400870000041,49.53400870000041,52.73146870000346,5.0,3.2035429000025033,,,,,,,,,,,,,,,,,,,,,,,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
The balance of nature is strong enough to cope with the impacts of modern industrial nations.,,,,0,7,7,7,,,,,,,,,52.75394159999996,,,,,,,,,52.731744299999264,52.75394159999996,52.75394159999996,52.75394159999996,63.4026492999983,1.0,10.647658300003968,,,,,,,,,,,,,,,,,,,,,,,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
"Despite our special abilities, humans are still subject to the laws of nature.",,,,0,8,8,8,,,,,,,,,63.42765099999815,,,,,,,,,63.40291889999935,63.42765099999815,63.42765099999815,63.42765099999815,76.64079320000019,5.0,13.212584400003834,,,,,,,,,,,,,,,,,,,,,,,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
The so-called 'ecological crisis' facing humankind has been greatly exaggerated.,,,,0,9,9,9,,,,,,,,,76.66589390000445,,,,,,,,,76.64105700000073,76.66589390000445,76.66589390000445,76.66589390000445,81.66034639999998,1.0,4.994499400003406,,,,,,,,,,,,,,,,,,,,,,,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
The Earth is like a spaceship with very limited room and resources.,,,,0,10,10,10,,,,,,,,,81.68356979999953,,,,,,,,,81.66060789999756,81.68356979999953,81.68356979999953,81.68356979999953,90.24674500000401,4.0,8.562292599999637,,,,,,,,,,,,,,,,,,,,,,,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
Humans were meant to rule over the rest of nature.,,,,0,11,11,11,,,,,,,,,90.26965429999836,,,,,,,,,90.24702599999728,90.26965429999836,90.26965429999836,90.26965429999836,94.69797629999812,2.0,4.4287724000023445,,,,,,,,,,,,,,,,,,,,,,,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
