scale,neutral,image1,image2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,trial.started,consent.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,NEP.started,text.started,text_2.started,slider.started,NEP.stopped,slider.response,slider.rt,social_neutral.started,text_3.started,text_4.started,slider_2.started,social_neutral.stopped,slider_2.response,slider_2.rt,env_instr.started,text_5.started,key_resp_2.started,env_instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,env_choice.started,A.started,B.started,key_resp_3.started,env_choice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,0.0027197,0.007097,0.007097,9.2034125,space,9.1776999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
When humans interfere with nature it often produces disastrous consequences.,,,,0,0,0,2,,,,,,,,,9.234107,,,,,,,,,9.2071481,9.234107,9.234107,9.234107,19.6239971,2,10.3938002,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
"Despite our special abilities, humans are still subject to the laws of nature.",,,,0,1,1,8,,,,,,,,,19.650017,,,,,,,,,19.6243879,19.650017,19.650017,19.650017,27.8287528,5,8.1774125,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
Humans were meant to rule over the rest of nature.,,,,0,2,2,11,,,,,,,,,27.8540261,,,,,,,,,27.8290208,27.8540261,27.8540261,27.8540261,32.4150334,1,4.559382,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
The so-called 'ecological crisis' facing humankind has been greatly exaggerated.,,,,0,3,3,9,,,,,,,,,32.4423634,,,,,,,,,32.415324,32.4423634,32.4423634,32.4423634,41.2588074,4,8.8143144,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
Plants and animals have as much right as humans to exist.,,,,0,4,4,6,,,,,,,,,41.2842862,,,,,,,,,41.2590942,41.2842862,41.2842862,41.2842862,46.0568556,5,4.7713334,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
Humans will eventually learn enough about how nature works to be able to control it.,,,,0,5,5,13,,,,,,,,,46.0825831,,,,,,,,,46.0571132,46.0825831,46.0825831,46.0825831,59.7219493,2,13.6399256,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
The balance of nature is strong enough to cope with the impacts of modern industrial nations.,,,,0,6,6,7,,,,,,,,,59.7467101,,,,,,,,,59.7223269,59.7467101,59.7467101,59.7467101,69.8121962,2,10.0653537,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
The balance of nature is very delicate and easily upset.,,,,0,7,7,12,,,,,,,,,69.8366969,,,,,,,,,69.8124471,69.8366969,69.8366969,69.8366969,74.7721184,2,4.9342745,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
The Earth is like a spaceship with very limited room and resources.,,,,0,8,8,10,,,,,,,,,74.7983084,,,,,,,,,74.772418,74.7983084,74.7983084,74.7983084,79.3429653,1,4.5448699,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
Humans have the right to modify the natural environment to suit their needs.,,,,0,9,9,1,,,,,,,,,79.368903,,,,,,,,,79.343478,79.368903,79.368903,79.368903,83.6109327,4,4.2358003,,,,,,,,,,,,,,,,,,,,,,,00CONTROLL,1,2024-11-22_17h13.29.532,control_priming_exp,2024.1.5,None,2024-11-22 17h13.47.151233 +0530
