scale,neutral,image1,image2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,trial.started,consent.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,NEP.started,text.started,text_2.started,slider.started,NEP.stopped,slider.response,slider.rt,social_neutral.started,text_3.started,text_4.started,slider_2.started,social_neutral.stopped,slider_2.response,slider_2.rt,env_instr.started,text_5.started,key_resp_2.started,env_instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,env_choice.started,A.started,B.started,key_resp_3.started,env_choice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,0.0036597,0.009254,0.009254,26.3972207,space,26.3799815,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06CONTROL,1,2024-11-22_16h11.38.605,control_priming_exp,2024.1.5,None,2024-11-22 16h11.56.362925 +0530
We are approaching the limit of the number of people the Earth can support.,,,,0,0,0,0,,,,,,,,,26.4337497,,,,,,,,,26.4020511,26.4337497,26.4337497,26.4337497,33.0142991,4,6.5861414,,,,,,,,,,,,,,,,,,,,,,,06CONTROL,1,2024-11-22_16h11.38.605,control_priming_exp,2024.1.5,None,2024-11-22 16h11.56.362925 +0530
When humans interfere with nature it often produces disastrous consequences.,,,,0,1,1,2,,,,,,,,,33.0416961,,,,,,,,,33.0148253,33.0416961,33.0416961,33.0416961,38.513764,5,5.4755589,,,,,,,,,,,,,,,,,,,,,,,06CONTROL,1,2024-11-22_16h11.38.605,control_priming_exp,2024.1.5,None,2024-11-22 16h11.56.362925 +0530
Human ingenuity will insure that we do not make the Earth unlivable.,,,,0,2,2,3,,,,,,,,,38.5386147,,,,,,,,,38.5140152,38.5386147,38.5386147,38.5386147,45.9447323,1,7.4072007,,,,,,,,,,,,,,,,,,,,,,,06CONTROL,1,2024-11-22_16h11.38.605,control_priming_exp,2024.1.5,None,2024-11-22 16h11.56.362925 +0530
The balance of nature is strong enough to cope with the impacts of modern industrial nations.,,,,0,3,3,7,,,,,,,,,45.9688172,,,,,,,,,45.9449919,45.9688172,45.9688172,45.9688172,51.2524602,2,5.282964,,,,,,,,,,,,,,,,,,,,,,,06CONTROL,1,2024-11-22_16h11.38.605,control_priming_exp,2024.1.5,None,2024-11-22 16h11.56.362925 +0530
The Earth has plenty of natural resources if we just learn how to develop them.,,,,0,4,4,5,,,,,,,,,51.2787416,,,,,,,,,51.2527176,51.2787416,51.2787416,51.2787416,55.4366401,2,4.1582102,,,,,,,,,,,,,,,,,,,,,,,06CONTROL,1,2024-11-22_16h11.38.605,control_priming_exp,2024.1.5,None,2024-11-22 16h11.56.362925 +0530
The so-called 'ecological crisis' facing humankind has been greatly exaggerated.,,,,0,5,5,9,,,,,,,,,55.4660572,,,,,,,,,55.437008,55.4660572,55.4660572,55.4660572,59.3931875,1,3.9276689,,,,,,,,,,,,,,,,,,,,,,,06CONTROL,1,2024-11-22_16h11.38.605,control_priming_exp,2024.1.5,None,2024-11-22 16h11.56.362925 +0530
Humans will eventually learn enough about how nature works to be able to control it.,,,,0,6,6,13,,,,,,,,,59.420482,,,,,,,,,59.393449,59.420482,59.420482,59.420482,67.9622782,2,8.5446951,,,,,,,,,,,,,,,,,,,,,,,06CONTROL,1,2024-11-22_16h11.38.605,control_priming_exp,2024.1.5,None,2024-11-22 16h11.56.362925 +0530
Humans have the right to modify the natural environment to suit their needs.,,,,0,7,7,1,,,,,,,,,67.9866549,,,,,,,,,67.962535,67.9866549,67.9866549,67.9866549,71.3754579,4,3.3893747,,,,,,,,,,,,,,,,,,,,,,,06CONTROL,1,2024-11-22_16h11.38.605,control_priming_exp,2024.1.5,None,2024-11-22 16h11.56.362925 +0530
"If things continue on their present course, we will soon experience a major ecological catastrophe.",,,,0,8,8,14,,,,,,,,,71.3984687,,,,,,,,,71.3757813,71.3984687,71.3984687,71.3984687,75.3648242,4,3.9664701,,,,,,,,,,,,,,,,,,,,,,,06CONTROL,1,2024-11-22_16h11.38.605,control_priming_exp,2024.1.5,None,2024-11-22 16h11.56.362925 +0530
