scale,neutral,image1,image2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,trial.started,consent.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,NEP.started,text.started,text_2.started,slider.started,NEP.stopped,slider.response,slider.rt,social_neutral.started,text_3.started,text_4.started,slider_2.started,social_neutral.stopped,slider_2.response,slider_2.rt,env_instr.started,text_5.started,key_resp_2.started,env_instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,env_choice.started,A.started,B.started,key_resp_3.started,env_choice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,0.0029491,0.0095636,0.0095636,12.6068479,space,12.4988637,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
Humans were meant to rule over the rest of nature.,,,,0,0,0,11,,,,,,,,,12.6709901,,,,,,,,,12.6212603,12.6709901,12.6709901,12.6709901,22.0142826,2,9.3556374,,,,,,,,,,,,,,,,,,,,,,,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
Humans will eventually learn enough about how nature works to be able to control it.,,,,0,1,1,13,,,,,,,,,22.0430943,,,,,,,,,22.0174749,22.0430943,22.0430943,22.0430943,26.0694412,4,4.0266956,,,,,,,,,,,,,,,,,,,,,,,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
The balance of nature is strong enough to cope with the impacts of modern industrial nations.,,,,0,2,2,7,,,,,,,,,26.0948738,,,,,,,,,26.0697177,26.0948738,26.0948738,26.0948738,31.8135422,4,5.7116227,,,,,,,,,,,,,,,,,,,,,,,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
The so-called 'ecological crisis' facing humankind has been greatly exaggerated.,,,,0,3,3,9,,,,,,,,,31.8505606,,,,,,,,,31.8138688,31.8505606,31.8505606,31.8505606,37.0391819,1,5.1825108,,,,,,,,,,,,,,,,,,,,,,,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
The balance of nature is very delicate and easily upset.,,,,0,4,4,12,,,,,,,,,37.0813252,,,,,,,,,37.039656,37.0813252,37.0813252,37.0813252,54.4900312,4,17.4177036,,,,,,,,,,,,,,,,,,,,,,,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
When humans interfere with nature it often produces disastrous consequences.,,,,0,5,5,2,,,,,,,,,54.5134851,,,,,,,,,54.4903433,54.5134851,54.5134851,54.5134851,58.1016719,5,3.5853978,,,,,,,,,,,,,,,,,,,,,,,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
Humans are seriously abusing the environment.,,,,0,6,6,4,,,,,,,,,58.1244726,,,,,,,,,58.1019518,58.1244726,58.1244726,58.1244726,62.3765437,1,4.2513731,,,,,,,,,,,,,,,,,,,,,,,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
Humans have the right to modify the natural environment to suit their needs.,,,,0,7,7,1,,,,,,,,,62.412415,,,,,,,,,62.3769251,62.412415,62.412415,62.412415,66.7096262,2,4.2985331,,,,,,,,,,,,,,,,,,,,,,,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
"If things continue on their present course, we will soon experience a major ecological catastrophe.",,,,0,8,8,14,,,,,,,,,66.7501786,,,,,,,,,66.7101078,66.7501786,66.7501786,66.7501786,70.9150704,5,4.1686101,,,,,,,,,,,,,,,,,,,,,,,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
Human ingenuity will insure that we do not make the Earth unlivable.,,,,0,9,9,3,,,,,,,,,70.9541844,,,,,,,,,70.9154358,70.9541844,70.9541844,70.9541844,83.8727326,4,12.9283295,,,,,,,,,,,,,,,,,,,,,,,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
The Earth has plenty of natural resources if we just learn how to develop them.,,,,0,10,10,5,,,,,,,,,83.8984639,,,,,,,,,83.8730074,83.8984639,83.8984639,83.8984639,89.0998326,4,5.1970548,,,,,,,,,,,,,,,,,,,,,,,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
"Despite our special abilities, humans are still subject to the laws of nature.",,,,0,11,11,8,,,,,,,,,89.1268985,,,,,,,,,89.1001987,89.1268985,89.1268985,89.1268985,93.4799579,4,4.3459394,,,,,,,,,,,,,,,,,,,,,,,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
We are approaching the limit of the number of people the Earth can support.,,,,0,12,12,0,,,,,,,,,93.5106267,,,,,,,,,93.4805292,93.5106267,93.5106267,93.5106267,96.3754882,5,2.8569514,,,,,,,,,,,,,,,,,,,,,,,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
Plants and animals have as much right as humans to exist.,,,,0,13,13,6,,,,,,,,,96.4044537,,,,,,,,,96.375987,96.4044537,96.4044537,96.4044537,99.7542318,4,3.3474727,,,,,,,,,,,,,,,,,,,,,,,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
The Earth is like a spaceship with very limited room and resources.,,,,0,14,14,10,,,,,,,,,99.7817109,,,,,,,,,99.754514,99.7817109,99.7817109,99.7817109,104.2059606,4,4.4271127,,,,,,,,,,,,,,,,,,,,,,,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
,Global Economic Slowdown: Concerns are growing about a potential global economic slowdown as major economies like the US and China face economic challenges.,,,,,,,0,0,0,3,,,,,104.2489354,,,,,,,,,,,,,,,,104.2187389,104.2489354,104.2489354,104.2489354,124.2936048,1,20.0385742,,,,,,,,,,,,,,,,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
,"Rise of Renewable Energy: Many countries are investing heavily in renewable energy sources like solar, wind, and hydro power to reduce reliance on fossil fuels and combat climate change.",,,,,,,0,1,1,1,,,,,124.3246696,,,,,,,,,,,,,,,,124.2943373,124.3246696,124.3246696,124.3246696,171.5623139,1,47.2388089,,,,,,,,,,,,,,,,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
,"India's Chandrayaan-3 Mission: India successfully landed its spacecraft on the Moon's south pole, making it the fourth country to achieve this feat.",,,,,,,0,2,2,2,,,,,171.6042751,,,,,,,,,,,,,,,,171.5625864,171.6042751,171.6042751,171.6042751,176.5884731,1,4.9938391,,,,,,,,,,,,,,,,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
,"Ukraine-Russia War: The ongoing conflict between Russia and Ukraine continues to impact global geopolitics, energy markets, and food security.",,,,,,,0,3,3,0,,,,,176.6226586,,,,,,,,,,,,,,,,176.5889254,176.6226586,176.6226586,176.6226586,181.6464318,1,5.0264202,,,,,,,,,,,,,,,,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
," Global Food Crisis: Several regions are facing food shortages and rising food prices due to factors like climate change, conflicts, and supply chain disruptions.??",,,,,,,0,4,4,4,,,,,181.6821974,,,,,,,,,,,,,,,,181.6470115,181.6821974,181.6821974,181.6821974,191.4839613,1,9.7908387,,,,,,,,,,,,,,,,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.4844936,191.4914235,191.4914235,201.2740847,space,9.7758515,None,,,,,,,,,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
,,images/A_apple.png,images/B_Apple.png,,,,,,,,,0,0,0,0,201.4707166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.2959146,201.4707166,201.4707166,201.4707166,208.8776116,left,7.3992385,None,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
,,images/A_bottle.png,images/B_bottle.png,,,,,,,,,0,1,1,1,208.9803218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.8789615,208.9803218,208.9803218,208.9803218,214.5456013,right,5.5481448,None,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
,,images/A_cloth.png,images/B_cloth.png,,,,,,,,,0,2,2,2,214.6570104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.5465657,214.6570104,214.6570104,214.6570104,222.1984131,right,7.5315078,None,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
,,images/A_detergent.png,images/B_detergent.png,,,,,,,,,0,3,3,3,222.2699214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.1992585,222.2699214,222.2699214,222.2699214,230.1350571,right,7.859859,None,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
,,images/A_facewash.png,images/B_facewash.png,,,,,,,,,0,4,4,4,230.2417381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.1360802,230.2417381,230.2417381,230.2417381,241.1561831,left,10.9041099,None,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
,,images/A_Light_Bulb.png,images/B_Light_Bulb.png,,,,,,,,,0,5,5,5,241.2780173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.1572015,241.2780173,241.2780173,241.2780173,245.4246835,left,4.1401374,None,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
,,images/A_shopping.png,images/B_shopping.png,,,,,,,,,0,6,6,6,245.5283204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.4256682,245.5283204,245.5283204,245.5283204,252.9122459,left,7.3806821,None,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
,,images/A_toothpaste.png,images/B_toothpaste.png,,,,,,,,,0,7,7,7,253.0159477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.9132777,253.0159477,253.0159477,253.0159477,260.9976321,left,7.9787346,None,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
,,images/A_transport.png,images/B_transport.png,,,,,,,,,0,8,8,8,261.0997311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.9986512,261.0997311,261.0997311,261.0997311,263.2650286,right,2.1547031,None,72ashsiCONTROL,1,2024-11-22_17h39.18.633,control_priming_exp,2024.1.5,None,2024-11-22 17h39.57.339656 +0530
