scale,neutral,image1,image2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,trial.started,consent.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,NEP.started,text.started,text_2.started,slider.started,NEP.stopped,slider.response,slider.rt,social_neutral.started,text_3.started,text_4.started,slider_2.started,social_neutral.stopped,slider_2.response,slider_2.rt,env_instr.started,text_5.started,key_resp_2.started,env_instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,env_choice.started,A.started,B.started,key_resp_3.started,env_choice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,0.0032018,0.0089514,0.0089514,4.200862,space,4.1741954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
Humans were meant to rule over the rest of nature.,,,,0,0,0,11,,,,,,,,,4.2372855,,,,,,,,,4.2047627,4.2372855,4.2372855,4.2372855,13.8487156,2,9.6169801,,,,,,,,,,,,,,,,,,,,,,,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
The Earth has plenty of natural resources if we just learn how to develop them.,,,,0,1,1,5,,,,,,,,,13.8739964,,,,,,,,,13.8490905,13.8739964,13.8739964,13.8739964,24.3251339,3,10.4523403,,,,,,,,,,,,,,,,,,,,,,,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
We are approaching the limit of the number of people the Earth can support.,,,,0,2,2,0,,,,,,,,,24.3493954,,,,,,,,,24.3253927,24.3493954,24.3493954,24.3493954,30.3343178,4,5.9859926,,,,,,,,,,,,,,,,,,,,,,,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
Humans will eventually learn enough about how nature works to be able to control it.,,,,0,3,3,13,,,,,,,,,30.3649507,,,,,,,,,30.334565,30.3649507,30.3649507,30.3649507,45.2395235,3,14.8752585,,,,,,,,,,,,,,,,,,,,,,,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
The Earth is like a spaceship with very limited room and resources.,,,,0,4,4,10,,,,,,,,,45.2649179,,,,,,,,,45.2398554,45.2649179,45.2649179,45.2649179,51.2703085,4,6.0071799,,,,,,,,,,,,,,,,,,,,,,,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
Humans are seriously abusing the environment.,,,,0,5,5,4,,,,,,,,,51.2938396,,,,,,,,,51.2705663,51.2938396,51.2938396,51.2938396,59.5988942,4,8.3053801,,,,,,,,,,,,,,,,,,,,,,,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
"If things continue on their present course, we will soon experience a major ecological catastrophe.",,,,0,6,6,14,,,,,,,,,59.6248211,,,,,,,,,59.5991708,59.6248211,59.6248211,59.6248211,65.7643297,4,6.1402845,,,,,,,,,,,,,,,,,,,,,,,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
When humans interfere with nature it often produces disastrous consequences.,,,,0,7,7,2,,,,,,,,,65.7935757,,,,,,,,,65.7645887,65.7935757,65.7935757,65.7935757,70.1249762,4,4.3342551,,,,,,,,,,,,,,,,,,,,,,,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
The so-called 'ecological crisis' facing humankind has been greatly exaggerated.,,,,0,8,8,9,,,,,,,,,70.1522496,,,,,,,,,70.1252267,70.1522496,70.1522496,70.1522496,76.3837503,3,6.2314919,,,,,,,,,,,,,,,,,,,,,,,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
