scale,env,image1,image2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,trial.started,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,NEP_scale.started,text_2.started,question.started,slider.started,NEP_scale.stopped,slider.response,slider.rt,env_prime.started,text_3.started,text_4.started,slider_2.started,env_prime.stopped,slider_2.response,slider_2.rt,env_decision_inst.started,text_5.started,key_resp_2.started,env_decision_inst.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,desicion.started,OptionA.started,optionB.started,key_resp_3.started,desicion.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.0022346999999172112,0.005707799999981944,0.005707799999981944,17.415234800000007,space,17.393681399999878,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
We are approaching the limit of the number of people the Earth can support.,,,,0,0,0,0,,,,,,,,,17.474365300000045,,,,,,,,,17.426487499999894,17.474365300000045,17.474365300000045,17.474365300000045,24.04428689999986,4.0,6.578531599999906,,,,,,,,,,,,,,,,,,,,,,,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
Humans have the right to modify the natural environment to suit their needs.,,,,0,1,1,1,,,,,,,,,24.071028599999863,,,,,,,,,24.04467550000004,24.071028599999863,24.071028599999863,24.071028599999863,29.738113699999985,3.0,5.667331299999887,,,,,,,,,,,,,,,,,,,,,,,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
When humans interfere with nature it often produces disastrous consequences.,,,,0,2,2,2,,,,,,,,,29.770957400000043,,,,,,,,,29.738453499999878,29.770957400000043,29.770957400000043,29.770957400000043,34.40192759999991,4.0,4.61869159999992,,,,,,,,,,,,,,,,,,,,,,,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
Human ingenuity will insure that we do not make the Earth unlivable.,,,,0,3,3,3,,,,,,,,,34.439280600000075,,,,,,,,,34.402441199999885,34.439280600000075,34.439280600000075,34.439280600000075,38.409522499999866,2.0,3.9802885999999944,,,,,,,,,,,,,,,,,,,,,,,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
Humans are seriously abusing the environment.,,,,0,4,4,4,,,,,,,,,38.432543800000076,,,,,,,,,38.40978610000002,38.432543800000076,38.432543800000076,38.432543800000076,42.129670099999885,4.0,3.6876744999999573,,,,,,,,,,,,,,,,,,,,,,,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
The Earth has plenty of natural resources if we just learn how to develop them.,,,,0,5,5,5,,,,,,,,,42.16342329999998,,,,,,,,,42.13026620000005,42.16342329999998,42.16342329999998,42.16342329999998,64.25693750000005,5.0,22.080587900000182,,,,,,,,,,,,,,,,,,,,,,,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
Plants and animals have as much right as humans to exist.,,,,0,6,6,6,,,,,,,,,64.29554489999987,,,,,,,,,64.25746349999986,64.29554489999987,64.29554489999987,64.29554489999987,68.90993839999987,4.0,4.608640999999807,,,,,,,,,,,,,,,,,,,,,,,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
The balance of nature is strong enough to cope with the impacts of modern industrial nations.,,,,0,7,7,7,,,,,,,,,68.93604630000004,,,,,,,,,68.91030499999988,68.93604630000004,68.93604630000004,68.93604630000004,73.97459750000007,1.0,5.038013399999954,,,,,,,,,,,,,,,,,,,,,,,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
"Despite our special abilities, humans are still subject to the laws of nature.",,,,0,8,8,8,,,,,,,,,74.02302199999986,,,,,,,,,73.9749784999999,74.02302199999986,74.02302199999986,74.02302199999986,78.25778869999999,4.0,4.243374599999925,,,,,,,,,,,,,,,,,,,,,,,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
The so-called 'ecological crisis' facing humankind has been greatly exaggerated.,,,,0,9,9,9,,,,,,,,,78.28739509999991,,,,,,,,,78.25829090000002,78.28739509999991,78.28739509999991,78.28739509999991,81.53845150000006,2.0,3.2401978000000327,,,,,,,,,,,,,,,,,,,,,,,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
The Earth is like a spaceship with very limited room and resources.,,,,0,10,10,10,,,,,,,,,81.57266759999993,,,,,,,,,81.53908260000003,81.57266759999993,81.57266759999993,81.57266759999993,91.88238780000006,3.0,10.297573000000057,,,,,,,,,,,,,,,,,,,,,,,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
Humans were meant to rule over the rest of nature.,,,,0,11,11,11,,,,,,,,,91.90896629999997,,,,,,,,,91.88283279999996,91.90896629999997,91.90896629999997,91.90896629999997,96.45853790000001,2.0,4.53645060000008,,,,,,,,,,,,,,,,,,,,,,,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
The balance of nature is very delicate and easily upset.,,,,0,12,12,12,,,,,,,,,96.49090410000008,,,,,,,,,96.45912449999992,96.49090410000008,96.49090410000008,96.49090410000008,99.44767030000003,4.0,2.949411199999986,,,,,,,,,,,,,,,,,,,,,,,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
Humans will eventually learn enough about how nature works to be able to control it.,,,,0,13,13,13,,,,,,,,,99.49119610000002,,,,,,,,,99.44813139999997,99.49119610000002,99.49119610000002,99.49119610000002,103.10260130000006,4.0,3.621446999999989,,,,,,,,,,,,,,,,,,,,,,,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
"If things continue on their present course, we will soon experience a major ecological catastrophe.",,,,0,14,14,14,,,,,,,,,103.14023300000008,,,,,,,,,103.10297620000006,103.14023300000008,103.14023300000008,103.14023300000008,107.87752150000006,5.0,4.738022799999953,,,,,,,,,,,,,,,,,,,,,,,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
,"Large pieces of plastic can entangle and harm marine animals, leading to injuries and death.",,,,,,,0,0,0,3,,,,,107.91254570000001,,,,,,,,,,,,,,,,107.88215429999991,107.91254570000001,107.91254570000001,107.91254570000001,126.06189560000007,0.0,18.151956100000007,,,,,,,,,,,,,,,,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
,"Delhi's air quality continues to deteriorate, with recent spikes reaching hazardous levels. The city is frequently engulfed in toxic smog, leading to severe respiratory issues and other health problems for millions of residents.",,,,,,,0,1,1,5,,,,,126.08843359999992,,,,,,,,,,,,,,,,126.06224870000005,126.08843359999992,126.08843359999992,126.08843359999992,132.19516759999988,0.0,6.1039559999999256,,,,,,,,,,,,,,,,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
,"Excessive use of pesticides can lead to soil degradation, water pollution, and harm to beneficial insects and other organisms.",,,,,,,0,2,2,1,,,,,132.21796840000002,,,,,,,,,,,,,,,,132.19544459999997,132.21796840000002,132.21796840000002,132.21796840000002,138.12499860000003,0.0,5.906827799999974,,,,,,,,,,,,,,,,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
