scale,neutral,image1,image2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,trial.started,consent.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,NEP.started,text.started,text_2.started,slider.started,NEP.stopped,slider.response,slider.rt,social_neutral.started,text_3.started,text_4.started,slider_2.started,social_neutral.stopped,slider_2.response,slider_2.rt,env_instr.started,text_5.started,key_resp_2.started,env_instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,env_choice.started,A.started,B.started,key_resp_3.started,env_choice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,0.0031329,0.012157,0.012157,1.2289115,space,1.2095844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control07,1,2024-11-28_14h12.59.434,control_priming_exp,2024.1.5,None,2024-11-28 14h13.45.265461 +0530
The balance of nature is very delicate and easily upset.,,,,0,0,0,12,,,,,,,,,1.297572,,,,,,,,,1.2360064,1.297572,1.297572,1.297572,12.7694905,2,11.4979578,,,,,,,,,,,,,,,,,,,,,,,control07,1,2024-11-28_14h12.59.434,control_priming_exp,2024.1.5,None,2024-11-28 14h13.45.265461 +0530
"Despite our special abilities, humans are still subject to the laws of nature.",,,,0,1,1,8,,,,,,,,,12.7978497,,,,,,,,,12.7700133,12.7978497,12.7978497,12.7978497,13.7142047,2,0.9161159,,,,,,,,,,,,,,,,,,,,,,,control07,1,2024-11-28_14h12.59.434,control_priming_exp,2024.1.5,None,2024-11-28 14h13.45.265461 +0530
Humans were meant to rule over the rest of nature.,,,,0,2,2,11,,,,,,,,,13.7388427,,,,,,,,,13.7144743,13.7388427,13.7388427,13.7388427,14.8743212,3,1.1366575,,,,,,,,,,,,,,,,,,,,,,,control07,1,2024-11-28_14h12.59.434,control_priming_exp,2024.1.5,None,2024-11-28 14h13.45.265461 +0530
The Earth is like a spaceship with very limited room and resources.,,,,0,3,3,10,,,,,,,,,14.9041803,,,,,,,,,14.8746418,14.9041803,14.9041803,14.9041803,19.8571275,2,4.9579445,,,,,,,,,,,,,,,,,,,,,,,control07,1,2024-11-28_14h12.59.434,control_priming_exp,2024.1.5,None,2024-11-28 14h13.45.265461 +0530
Humans are seriously abusing the environment.,,,,0,4,4,4,,,,,,,,,19.881021,,,,,,,,,19.8576244,19.881021,19.881021,19.881021,24.1703388,2,4.2895676,,,,,,,,,,,,,,,,,,,,,,,control07,1,2024-11-28_14h12.59.434,control_priming_exp,2024.1.5,None,2024-11-28 14h13.45.265461 +0530
We are approaching the limit of the number of people the Earth can support.,,,,0,5,5,0,,,,,,,,,24.1996418,,,,,,,,,24.1712337,24.1996418,24.1996418,24.1996418,28.7618208,2,4.5660795,,,,,,,,,,,,,,,,,,,,,,,control07,1,2024-11-28_14h12.59.434,control_priming_exp,2024.1.5,None,2024-11-28 14h13.45.265461 +0530
The so-called 'ecological crisis' facing humankind has been greatly exaggerated.,,,,0,6,6,9,,,,,,,,,28.7895338,,,,,,,,,28.7621643,28.7895338,28.7895338,28.7895338,33.5714051,4,4.780832,,,,,,,,,,,,,,,,,,,,,,,control07,1,2024-11-28_14h12.59.434,control_priming_exp,2024.1.5,None,2024-11-28 14h13.45.265461 +0530
Plants and animals have as much right as humans to exist.,,,,0,7,7,6,,,,,,,,,33.5959855,,,,,,,,,33.5716786,33.5959855,33.5959855,33.5959855,40.691555,3,7.0946418,,,,,,,,,,,,,,,,,,,,,,,control07,1,2024-11-28_14h12.59.434,control_priming_exp,2024.1.5,None,2024-11-28 14h13.45.265461 +0530
The balance of nature is strong enough to cope with the impacts of modern industrial nations.,,,,0,8,8,7,,,,,,,,,40.7170613,,,,,,,,,40.6918272,40.7170613,40.7170613,40.7170613,55.551298,2,14.8334747,,,,,,,,,,,,,,,,,,,,,,,control07,1,2024-11-28_14h12.59.434,control_priming_exp,2024.1.5,None,2024-11-28 14h13.45.265461 +0530
