scale,neutral,image1,image2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,trial.started,consent.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,NEP.started,text.started,text_2.started,slider.started,NEP.stopped,slider.response,slider.rt,social_neutral.started,text_3.started,text_4.started,slider_2.started,social_neutral.stopped,slider_2.response,slider_2.rt,env_instr.started,text_5.started,key_resp_2.started,env_instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,env_choice.started,A.started,B.started,key_resp_3.started,env_choice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.0029869000063627027,0.007310100001632236,0.007310100001632236,19.975347300001886,space,19.951643400003377,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
Humans have the right to modify the natural environment to suit their needs.,,,,0,0,0,1,,,,,,,,,20.00984050000261,,,,,,,,,19.980352700004005,20.00984050000261,20.00984050000261,20.00984050000261,43.22237140000652,2.0,23.21712259999913,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
Humans will eventually learn enough about how nature works to be able to control it.,,,,0,1,1,13,,,,,,,,,43.25175550000131,,,,,,,,,43.222932700002275,43.25175550000131,43.25175550000131,43.25175550000131,56.36548240000411,2.0,13.107999100000598,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
Humans were meant to rule over the rest of nature.,,,,0,2,2,11,,,,,,,,,56.40243690000352,,,,,,,,,56.36591100000078,56.40243690000352,56.40243690000352,56.40243690000352,59.69613680000475,2.0,3.3007410999998683,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
The balance of nature is very delicate and easily upset.,,,,0,3,3,12,,,,,,,,,59.722883000002184,,,,,,,,,59.6965538000004,59.722883000002184,59.722883000002184,59.722883000002184,103.09672050000518,3.0,43.37559200000396,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
We are approaching the limit of the number of people the Earth can support.,,,,0,4,4,0,,,,,,,,,103.12556790000235,,,,,,,,,103.09711240000615,103.12556790000235,103.12556790000235,103.12556790000235,109.13543500000378,5.0,6.011906299994735,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
"If things continue on their present course, we will soon experience a major ecological catastrophe.",,,,0,5,5,14,,,,,,,,,109.16610010000295,,,,,,,,,109.13578950000374,109.16610010000295,109.16610010000295,109.16610010000295,121.36075900000287,5.0,12.195383300000685,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
Humans are seriously abusing the environment.,,,,0,6,6,4,,,,,,,,,121.38400630000251,,,,,,,,,121.36102320000646,121.38400630000251,121.38400630000251,121.38400630000251,125.25085940000281,4.0,3.865830700000515,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
The so-called 'ecological crisis' facing humankind has been greatly exaggerated.,,,,0,7,7,9,,,,,,,,,125.27590120000241,,,,,,,,,125.25129820000438,125.27590120000241,125.27590120000241,125.27590120000241,164.7315729000038,2.0,39.455463999998756,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
When humans interfere with nature it often produces disastrous consequences.,,,,0,8,8,2,,,,,,,,,164.75798430000577,,,,,,,,,164.73182500000257,164.75798430000577,164.75798430000577,164.75798430000577,175.68182040000102,4.0,10.925978599996597,,,,,,,,,,,,,,,,,,,,,,,nrtjMHR202,001,2024-11-22_16h01.54.846,control_priming_exp,2024.1.5,None,2024-11-22 16h02.38.830116 +0530,
