scale,env,image1,image2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,trial.started,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,NEP_scale.started,text_2.started,question.started,slider.started,NEP_scale.stopped,slider.response,slider.rt,env_prime.started,text_3.started,text_4.started,slider_2.started,env_prime.stopped,slider_2.response,slider_2.rt,env_decision_inst.started,text_5.started,key_resp_2.started,env_decision_inst.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,desicion.started,OptionA.started,optionB.started,key_resp_3.started,desicion.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,0.002786,0.006642,0.006642,16.2597629,space,16.2478476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
We are approaching the limit of the number of people the Earth can support.,,,,0,0,0,0,,,,,,,,,16.296612,,,,,,,,,16.26352,16.296612,16.296612,16.296612,24.6544947,5,8.3587681,,,,,,,,,,,,,,,,,,,,,,,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
Humans have the right to modify the natural environment to suit their needs.,,,,0,1,1,1,,,,,,,,,24.6914464,,,,,,,,,24.654835,24.6914464,24.6914464,24.6914464,35.6835365,4,11.0023481,,,,,,,,,,,,,,,,,,,,,,,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
When humans interfere with nature it often produces disastrous consequences.,,,,0,2,2,2,,,,,,,,,35.7101161,,,,,,,,,35.6838178,35.7101161,35.7101161,35.7101161,42.23588,5,6.5256967,,,,,,,,,,,,,,,,,,,,,,,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
Human ingenuity will insure that we do not make the Earth unlivable.,,,,0,3,3,3,,,,,,,,,42.2613806,,,,,,,,,42.2362913,42.2613806,42.2613806,42.2613806,48.3880082,1,6.127801,,,,,,,,,,,,,,,,,,,,,,,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
Humans are seriously abusing the environment.,,,,0,4,4,4,,,,,,,,,48.4102849,,,,,,,,,48.3882618,48.4102849,48.4102849,48.4102849,48.9926841,1,0.5824552,,,,,,,,,,,,,,,,,,,,,,,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
The Earth has plenty of natural resources if we just learn how to develop them.,,,,0,5,5,5,,,,,,,,,49.0195356,,,,,,,,,48.9930308,49.0195356,49.0195356,49.0195356,57.8123814,5,8.794511,,,,,,,,,,,,,,,,,,,,,,,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
Plants and animals have as much right as humans to exist.,,,,0,6,6,6,,,,,,,,,57.8412989,,,,,,,,,57.8126415,57.8412989,57.8412989,57.8412989,60.3665401,5,2.5242254,,,,,,,,,,,,,,,,,,,,,,,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
The balance of nature is strong enough to cope with the impacts of modern industrial nations.,,,,0,7,7,7,,,,,,,,,60.393095,,,,,,,,,60.3667894,60.393095,60.393095,60.393095,67.2595088,1,6.8663909,,,,,,,,,,,,,,,,,,,,,,,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
"Despite our special abilities, humans are still subject to the laws of nature.",,,,0,8,8,8,,,,,,,,,67.2876758,,,,,,,,,67.2598578,67.2876758,67.2876758,67.2876758,72.1678168,5,4.8809508,,,,,,,,,,,,,,,,,,,,,,,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
