scale,neutral,image1,image2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,trial.started,consent.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,NEP.started,text.started,text_2.started,slider.started,NEP.stopped,slider.response,slider.rt,social_neutral.started,text_3.started,text_4.started,slider_2.started,social_neutral.stopped,slider_2.response,slider_2.rt,env_instr.started,text_5.started,key_resp_2.started,env_instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,env_choice.started,A.started,B.started,key_resp_3.started,env_choice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,0.0026321,0.0076672,0.0076672,8.309557,space,8.2883554,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ysg,1,2024-11-22_16h51.35.967,control_priming_exp,2024.1.5,None,2024-11-22 16h51.50.968124 +0530
Human ingenuity will insure that we do not make the Earth unlivable.,,,,0,0,0,3,,,,,,,,,8.3514298,,,,,,,,,8.3162059,8.3514298,8.3514298,8.3514298,29.8220592,4,21.4753885,,,,,,,,,,,,,,,,,,,,,,,ysg,1,2024-11-22_16h51.35.967,control_priming_exp,2024.1.5,None,2024-11-22 16h51.50.968124 +0530
Plants and animals have as much right as humans to exist.,,,,0,1,1,6,,,,,,,,,29.8501575,,,,,,,,,29.8252138,29.8501575,29.8501575,29.8501575,34.3824553,4,4.5297693,,,,,,,,,,,,,,,,,,,,,,,ysg,1,2024-11-22_16h51.35.967,control_priming_exp,2024.1.5,None,2024-11-22 16h51.50.968124 +0530
"Despite our special abilities, humans are still subject to the laws of nature.",,,,0,2,2,8,,,,,,,,,34.4098571,,,,,,,,,34.3828853,34.4098571,34.4098571,34.4098571,42.3817102,4,7.9727534,,,,,,,,,,,,,,,,,,,,,,,ysg,1,2024-11-22_16h51.35.967,control_priming_exp,2024.1.5,None,2024-11-22 16h51.50.968124 +0530
Humans will eventually learn enough about how nature works to be able to control it.,,,,0,3,3,13,,,,,,,,,42.4069833,,,,,,,,,42.3820938,42.4069833,42.4069833,42.4069833,48.3351784,4,5.9276717,,,,,,,,,,,,,,,,,,,,,,,ysg,1,2024-11-22_16h51.35.967,control_priming_exp,2024.1.5,None,2024-11-22 16h51.50.968124 +0530
The balance of nature is very delicate and easily upset.,,,,0,4,4,12,,,,,,,,,48.3596328,,,,,,,,,48.3354479,48.3596328,48.3596328,48.3596328,57.4960357,4,9.1372267,,,,,,,,,,,,,,,,,,,,,,,ysg,1,2024-11-22_16h51.35.967,control_priming_exp,2024.1.5,None,2024-11-22 16h51.50.968124 +0530
When humans interfere with nature it often produces disastrous consequences.,,,,0,5,5,2,,,,,,,,,57.5237948,,,,,,,,,57.496456,57.5237948,57.5237948,57.5237948,63.2066882,4,5.6845529,,,,,,,,,,,,,,,,,,,,,,,ysg,1,2024-11-22_16h51.35.967,control_priming_exp,2024.1.5,None,2024-11-22 16h51.50.968124 +0530
The balance of nature is strong enough to cope with the impacts of modern industrial nations.,,,,0,6,6,7,,,,,,,,,63.2431417,,,,,,,,,63.2070598,63.2431417,63.2431417,63.2431417,68.3483744,4,5.11161,,,,,,,,,,,,,,,,,,,,,,,ysg,1,2024-11-22_16h51.35.967,control_priming_exp,2024.1.5,None,2024-11-22 16h51.50.968124 +0530
The Earth has plenty of natural resources if we just learn how to develop them.,,,,0,7,7,5,,,,,,,,,68.3767791,,,,,,,,,68.3486331,68.3767791,68.3767791,68.3767791,84.648303,2,16.2732594,,,,,,,,,,,,,,,,,,,,,,,ysg,1,2024-11-22_16h51.35.967,control_priming_exp,2024.1.5,None,2024-11-22 16h51.50.968124 +0530
Humans are seriously abusing the environment.,,,,0,8,8,4,,,,,,,,,84.6755551,,,,,,,,,84.6485649,84.6755551,84.6755551,84.6755551,88.1690237,4,3.4948192,,,,,,,,,,,,,,,,,,,,,,,ysg,1,2024-11-22_16h51.35.967,control_priming_exp,2024.1.5,None,2024-11-22 16h51.50.968124 +0530
